"CADMIUM STATISTICS1",,,,,,,,,,
"U.S. GEOLOGICAL SURVEY",,,,,,,,,,
"[All values are in metric tons (t) cadmium content unless otherwise noted]",,,,,,,,,,
"Last modification: October 13, 2011",,,,,,,,,,
"Year","Production","Imports","Exports","Shipments","Stocks","Apparent consumption","Unit value ($/t)","Unit value (98 $/t)","World production","Estimated"
1957,4790,719,314,4580,1670,4990,3750,21800,9390,10661
1958,4390,455,263,3590,2540,3720,3350,18900,9800,11090
1959,3900,743,408,5110,1570,5180,2980,16700,10200,11509
1960,4740,427,1110,5440,894,4590,3350,18400,11100,11919
1961,4750,489,318,4640,1040,4620,3700,20200,11700,12319
1962,5050,507,325,5470,570,5510,3790,20500,11700,12707
1963,4530,450,596,4590,626,5210,4980,26500,11800,13083
1964,4740,501,653,4400,980,4250,6610,34800,12700,13447
1965,4390,962,33,3690,1560,4730,5690,29400,11900,13798
1966,4750,1520,172,5350,1130,6700,5340,26900,13000,14137
1967,3950,720,313,4360,699,5250,5820,28400,13200,14463
1968,4830,874,240,5100,499,6050,5840,27400,15000,14775
1969,5740,489,492,5890,650,6830,7210,32000,17600,15075
1970,4290,1130,169,3110,1740,4110,7870,33100,16500,15362
1971,3600,1590,30,3530,1950,4930,4230,17000,15400,15636
1972,3760,1100,462,4750,1060,5720,5640,22000,16700,15898
1973,3400,1770,139,3910,694,5690,8020,29400,17200,16148
1974,3020,1800,28,2950,906,5490,9020,29800,17300,16385
1975,1990,2380,180,742,2200,3060,7410,22400,15200,16611
1976,2050,3330,229,2710,1640,5380,5860,16800,17000,16826
1977,2000,2330,107,1840,1780,3820,6530,17600,18300,17030
1978,1650,2880,326,1960,1490,4510,5400,13500,17300,17223
1979,1820,2570,211,2470,896,4930,6080,13700,18700,17406
1980,1580,2620,236,1270,1320,3530,6260,12400,18200,17579
1981,1600,3090,239,1380,1360,4380,4250,7620,17400,17743
1982,1010,2310,11,1830,952,3730,2450,4140,16400,17897
1983,1050,2200,170,1500,349,3760,2490,4080,17600,18044
1984,1690,1890,106,1810,351,3300,3730,5850,19600,18181
1985,1600,1990,86,1790,306,3720,2670,4040,19100,18312
1986,1490,3170,38,2030,441,4390,2760,4100,19100,18434
1987,1520,2700,241,1920,261,4180,4380,6280,19000,18550
1988,1890,2480,613,2070,481,3620,15200,20900,21900,18659
1989,1550,2790,369,2020,326,4100,13800,18100,21400,18761
1990,1680,1740,385,1860,336,3110,7450,9290,20200,18857
