Year,Production,Imports,Exports,Shipments,Stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production,Estimated,Log. Estimated,Resources
2333,,,,,,,,,,826573586,1647151779,-304929988527
2334,,,,,,,,,,826993654,1648947350,-306578935877
2335,,,,,,,,,,827408618,1650725800,-308229661678
2336,,,,,,,,,,827818536,1652487271,-309882148949
2337,,,,,,,,,,828223467,1654231904,-311536380854
2338,,,,,,,,,,828623469,1655959838,-313192340692
2339,,,,,,,,,,829018599,1657671212,-314850011904
2340,,,,,,,,,,829408914,1659366166,-316509378071
2341,,,,,,,,,,829794470,1661044837,-318170422909
2342,,,,,,,,,,830175322,1662707363,-319833130272
2343,,,,,,,,,,830551527,1664353879,-321497484151
2344,,,,,,,,,,830923137,1665984521,-323163468673
2345,,,,,,,,,,831290207,1667599424,-324831068097
2346,,,,,,,,,,831652790,1669198722,-326500266819
2347,,,,,,,,,,832010939,1670782548,-328171049368
2348,,,,,,,,,,832364705,1672351036,-329843400404
2349,,,,,,,,,,832714141,1673904316,-331517304720
2350,,,,,,,,,,833059297,1675442519,-333192747240
2351,,,,,,,,,,833400224,1676965777,-334869713018
2352,,,,,,,,,,833736971,1678474218,-336548187236
2353,,,,,,,,,,834069589,1679967971,-338228155208
2354,,,,,,,,,,834398125,1681447164,-339909602373
2355,,,,,,,,,,834722628,1682911924,-341592514298
2356,,,,,,,,,,835043146,1684362378,-343276876676
2357,,,,,,,,,,835359727,1685798650,-344962675326
2358,,,,,,,,,,835672416,1687220865,-346649896191
2359,,,,,,,,,,835981260,1688629148,-348338525339
2360,,,,,,,,,,836286305,1690023621,-350028548961
2361,,,,,,,,,,836587596,1691404407,-351719953368
2362,,,,,,,,,,836885177,1692771627,-353412724995
2363,,,,,,,,,,837179093,1694125401,-355106850397
2364,,,,,,,,,,837469388,1695465851,-356802316248
2365,,,,,,,,,,837756105,1696793094,-358499109343
2366,,,,,,,,,,838039286,1698107250,-360197216593
2367,,,,,,,,,,838318974,1699408435,-361896625029
2368,,,,,,,,,,838595211,1700696766,-363597321795
2369,,,,,,,,,,838868037,1701972359,-365299294154
2370,,,,,,,,,,839137495,1703235329,-367002529483
2371,,,,,,,,,,839403623,1704485790,-368707015274
2372,,,,,,,,,,839666463,1705723856,-370412739131
2373,,,,,,,,,,839926054,1706949639,-372119688770
2374,,,,,,,,,,840182434,1708163251,-373827852022
2375,,,,,,,,,,840435642,1709364804,-375537216826
2376,,,,,,,,,,840685718,1710554406,-377247771233
2377,,,,,,,,,,840932697,1711732169,-378959503402
2378,,,,,,,,,,841176618,1712898199,-380672401602
2379,,,,,,,,,,841417518,1714052606,-382386454208
2380,,,,,,,,,,841655432,1715195495,-384101649704
2381,,,,,,,,,,841890398,1716326974,-385817976679
2382,,,,,,,,,,842122450,1717447148,-387535423827
2383,,,,,,,,,,842351624,1718556120,-389253979948
2384,,,,,,,,,,842577955,1719653996,-390973633944
2385,,,,,,,,,,842801477,1720740878,-392694374823
2386,,,,,,,,,,843022225,1721816869,-394416191692
2387,,,,,,,,,,843240231,1722882069,-396139073761
2388,,,,,,,,,,843455529,1723936580,-397863010342
2389,,,,,,,,,,843668153,1724980501,-399587990843
2390,,,,,,,,,,843878134,1726013931,-401314004775
2391,,,,,,,,,,844085504,1727036970,-403041041745
2392,,,,,,,,,,844290296,1728049714,-404769091460
2393,,,,,,,,,,844492541,1729052260,-406498143721
2394,,,,,,,,,,844692269,1730044705,-408228188426
2395,,,,,,,,,,844889512,1731027143,-409959215570
2396,,,,,,,,,,845084300,1731999670,-411691215241
2397,,,,,,,,,,845276662,1732962378,-413424177619
2398,,,,,,,,,,845466629,1733915361,-415158092981
2399,,,,,,,,,,845654229,1734858712,-416892951694
2400,,,,,,,,,,845839491,1735792521,-418628744215
