GYPSUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
2008	21900000	7330000	149000	29100000	19.5	14.8	157000000
2009	19600000	4220000	156000	23600000	17.48	13.3	232000000
2010	20600000	3330000	360000	23600000	13.65	10.2	241000000
2011	23100000	3330000	316000	26100000	14.35	10.4	243000000
2012	25000000	3250000	408000	27800000	13.65	9.7	244000000
2013	25200000	3290000	142000	28300000	14.68	10.3	252000000
2014	30000000	3720000	67000	33700000	15.67	10.8	260000000
2015	31200000	4030000	63000	35200000	14.72	10.1	260000000
NA Not available.
1Compiled by D.A. Buckingham, D.W. Olson, A. Founie, and R.D. Crangle, Jr.
Data are calculated, estimated, or reported;  See notes for more information.
