LITHIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) lithium unless otherwise noted]
Last modification: October 30, 2018
Year	Production	Imports	Exports	Estimated consumption	Unit value ($/t)	Unit value (98$/t)	World production (gross weight)	World mine production
2011	W	2850	1310	2000	3870	2800	610000	34100
2012	W	2760	1300	2000	4220	3000	634000	35000
2013	870	2210	1230	1800	4390	3070	582000	34000
2014	W	2130	1420	2000	4510	3110	621000	31700
2015	W	2750	1790	2000	4540	3120	611000	31500
2016	W	3140	1520	3000	4920	3340	657000	38000
2017	W	3330	1960	3000	4900	3260	1929000	69000
2018	W	3420	1660	3000	7330	4760	2480000	95000
2019	W	2620	1680	2000	8040	5130	2070000	86000
2020 	W	NA	NA	NA	NA	NA	NA	82500
2021 	W	NA	NA	NA	NA	NA	NA	107000
2021 	W	NA	NA	NA	NA	NA	NA	130000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly,  J.A. Ober, and B.W. Jaskula.
Data are calculated, estimated, or reported.  See notes for more information.
