MERCURY STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) mercury content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Primary production	Secondary production	Imports	Exports	Government stocks	Government shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1994	0	466	129	316	4440	345	469	483	5640	6200	1960
1995	0	534	377	179	4440	0	321	436	7180	7680	3190
1996	0	446	340	45	4440	0	446	372	7590	7890	2560
1997	0	389	164	134	4440	0	203	346	4630	4700	2410
1998	0	NA	128	63	4440	0	NA	300	4060	4060	1580
1999	0	NA	62	181	4440	0	NA	250	4060	3970	1320
2000	0	NA	103	182	4440	0	NA	200	4500	4260	1360
2001	0	NA	100	108	4440	0	NA	NA	4500	4140	1500
2002	0	NA	209	201	4440	0	NA	NA	4500	4080	1490
2003	0	NA	46	287	4440	0	NA	NA	4930	4370	1730
2004	0	NA	92	278	4440	0	NA	NA	10200	8800	1900
2005	0	NA	212	319	4440	0	NA	NA	16100	13400	1520
2006	0	NA	94	390	4440	0	NA	NA	19400	15700	1150
2007	0	NA	67	84	4440	0	NA	NA	15400	12100	1200
2008	0	NA	155	732	4440	0	NA	NA	17400	13200	1820
2009	0	NA	206	753	4440	0	NA	NA	17700	13400	1990
2010	0	NA	294	459	4440	0	NA	NA	31200	23300	2250
2011	0	NA	110	133	4440	0	NA	NA	53700	38900	2000
2012	0	NA	249	103	4440	0	NA	NA	53700	38100	1810
NA Not available. 											
1Compiled by K.E. Porter (retired), W.E. Brooks (retired), and R.L. Virta.											
Data are calculated, estimated, or reported.  See notes for more information.											
