CADMIUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) cadmium content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98 $/t)	World production
2006	723	180	483	833	74	530	2980	2410	19900
2007	735	316	424	692	107	594	7610	5980	18700
2008	777	197	421	774	132	528	5920	4480	21600
2009	633	122	661	737	27	199	2870	2180	20300
2010	637	221	306	563	102	477	3900	2920	22700
2011	W	211	271	W	W	W	2760	2000	20400
2012	W	192	631	W	W	W	2030	1440	20900
NA Not available. W Withheld to avoid disclosing company proprietary data.									
1Compiled by D.A. Buckingham (retired), J. Plachy (retired), P.H. Kuck, and A.C. Tolcin.									
Data are calculated, estimated, or reported.  See notes for more information.									
